model,AIDA-A precision,AIDA-A recall,AIDA-B precision,AIDA-B recall,AIDA-C precision,AIDA-C recall,
e2e_neural_el,12.5,0.02,25,0.11,0,0,
REL,0.04,0.04,0.1,0.11,0,0,
REL,0.02,0.02,0.02,0.02,0,0,
KnowBert,1.36,0.86,0.59,0.42,0.33,0.19,
KnowBert,1.69,0.67,0.83,0.31,0.28,0.09,
E-BERT,21.47,24.32,17.44,20.42,16.55,18.7,
eee-bert,39.66,31.33,37,29.1,40.77,20.72,
GENRE,88.29,89.52,80.95,79.96,47.93,38.63,
ea-el,0,0,0,0,0,0,
SpEL,92.12,91.21,87.84,83.88,83.03,40.35,
