model,AIDA-A precision,AIDA-A recall,AIDA-B precision,AIDA-B recall,AIDA-C precision,AIDA-C recall,
e2e_neural_el,0,0,0,0,0,0,
REL2014,0,0,0,0,0,0,
REL2019,0,0,0,0,0,0,
KnowBert-Wiki,0,0,0,0,0,0,
KnowBert-W+W,0,0,0,0,0,0,
E-BERT,0,0,0,0,0,0,
eee-bert,0,0,0,0,0,0,
GENRE,85.42,84.89,76.34,81.81,77.19,74.11,
ea-el,61.09,62.93,48.83,50.21,39.72,34.72,
SpEL,92.12,91.21,87.84,83.88,83.03,40.35,
